期數,號碼1,號碼2,號碼3,號碼4,號碼5
2007/01/01(一),9,11,27,28,38
2007/01/02(二),2,12,33,36,37
2007/01/03(三),22,23,27,29,30
2007/01/04(四),3,9,23,32,39
2007/01/05(五),9,12,13,15,26
2007/01/08(一),8,11,13,24,39
2007/01/09(二),5,8,14,17,28
2007/01/10(三),5,30,34,35,38
2007/01/11(四),7,15,18,20,37
2007/01/12(五),6,21,23,26,33
2007/01/15(一),1,13,15,20,25
2007/01/16(二),6,13,27,31,32
2007/01/17(三),11,25,26,27,30
2007/01/18(四),10,15,20,22,28
2007/01/19(五),10,11,17,21,38
2007/02/06(二),2,13,14,29,39
2007/02/07(三),7,11,23,32,35
2007/02/08(四),5,10,31,37,39
2007/02/09(五),7,16,20,25,27
2007/02/12(一),13,15,16,23,34
2007/02/13(二),2,22,28,29,34
2007/02/14(三),1,15,20,23,28
2007/02/15(四),6,24,27,28,33
2007/02/16(五),24,28,29,32,37
2007/02/19(一),9,12,24,34,37
2007/02/20(二),4,6,17,31,36
2007/02/21(三),8,18,20,32,34
2007/02/22(四),9,17,20,21,37
2007/02/23(五),9,12,16,19,25
2007/02/26(一),6,20,23,25,28
2007/02/27(二),9,12,19,23,34
2007/02/28(三),9,11,21,22,38
2007/03/01(四),2,3,12,18,31
2007/03/02(五),7,22,23,33,37
2007/03/05(一),5,11,19,21,25
2007/03/09(五),2,17,30,31,38
2007/03/12(一),8,15,25,27,38
2007/03/13(二),6,9,16,18,22
2007/03/14(三),6,9,16,37,39
2007/03/15(四),1,7,21,27,33
2007/03/16(五),1,2,18,26,38
2007/03/19(一),5,20,24,28,39
2007/03/20(二),2,10,14,18,22
2007/03/21(三),6,14,34,37,38
2007/03/22(四),7,25,26,34,36
2007/03/23(五),12,19,20,29,32
2007/03/26(一),26,27,32,33,36
2007/03/27(二),11,20,36,37,38
2007/03/28(三),9,25,28,34,37
2007/03/29(四),8,22,23,27,29
2007/03/30(五),6,19,22,33,37
2007/04/02(一),1,7,21,33,35
2007/04/03(二),10,11,13,29,31
2007/04/04(三),1,19,30,34,35
2007/04/05(四),7,21,22,23,36
2007/04/11(三),25,26,31,37,39
2007/04/12(四),1,9,11,17,25
2007/04/13(五),22,24,27,32,37
2007/04/16(一),14,18,26,28,36
2007/04/17(二),2,11,24,31,32
2007/04/18(三),3,12,22,38,39
2007/04/19(四),1,14,20,22,36
2007/04/20(五),3,6,22,37,39
2007/04/23(一),2,7,10,13,30
2007/04/24(二),1,4,6,9,16
2007/04/25(三),13,15,19,29,37
2007/04/26(四),5,7,15,32,39
2007/04/27(五),8,10,21,23,39
2007/04/30(一),4,7,12,17,29
2007/05/01(二),1,10,22,34,39
2007/05/02(三),4,23,34,37,39
2007/05/03(四),1,5,18,25,37
2007/05/04(五),7,8,9,12,14
2007/05/07(一),4,9,18,27,28
2007/05/08(二),2,10,18,23,33
2007/05/14(一),2,9,10,14,39
2007/05/15(二),5,8,11,23,38
2007/05/16(三),1,11,18,21,24
2007/05/17(四),4,5,6,13,33
2007/05/18(五),6,11,15,37,39
2007/05/21(一),8,15,20,23,25
2007/05/22(二),1,13,18,31,32
2007/05/23(三),4,8,21,29,32
2007/05/24(四),7,8,13,30,35
2007/05/25(五),4,13,19,23,35
2007/05/28(一),4,5,10,17,37
2007/05/29(二),10,14,15,29,35
2007/05/30(三),5,20,33,38,39
2007/05/31(四),21,28,33,35,38
2007/06/01(五),1,3,7,13,28
2007/06/04(一),4,7,13,32,36
2007/06/05(二),6,8,18,25,35
2007/06/06(三),7,20,21,28,33
2007/06/07(四),1,7,18,19,21
2007/06/08(五),1,7,10,16,37
2007/06/14(四),6,10,12,26,39
2007/06/15(五),2,12,23,25,27
2007/06/18(一),2,3,5,12,16
2007/06/19(二),1,6,8,10,28
2007/06/20(三),7,11,12,23,38
2007/06/21(四),18,19,28,35,39
2007/06/22(五),9,11,20,22,25
2007/06/25(一),20,22,23,24,34
2007/06/26(二),1,4,15,25,33
2007/06/27(三),3,6,14,20,21
2007/06/28(四),1,19,22,35,36
2007/06/29(五),25,31,33,34,37
2007/07/02(一),3,13,21,28,32
2007/07/03(二),15,17,23,25,38
2007/07/04(三),10,17,18,19,29
2007/07/05(四),1,2,11,23,37
2007/07/06(五),6,31,34,35,39
2007/07/09(一),8,12,24,34,35
2007/07/10(二),1,8,12,19,29
2007/07/11(三),5,14,19,20,29
2007/07/17(二),5,17,23,27,30
2007/07/18(三),3,21,24,33,34
2007/07/19(四),1,6,19,24,37
2007/07/20(五),17,25,34,35,38
2007/07/23(一),3,11,15,20,36
2007/07/24(二),5,12,19,28,34
2007/07/25(三),1,9,10,19,21
2007/07/26(四),7,20,24,33,34
2007/07/27(五),8,11,12,18,21
2007/07/30(一),4,8,12,15,20
2007/07/31(二),7,14,17,37,39
2007/08/01(三),4,9,28,32,36
2007/08/02(四),9,15,21,35,39
2007/08/03(五),4,8,12,13,32
2007/08/06(一),2,8,13,33,36
2007/08/07(二),9,10,23,31,36
2007/08/08(三),7,11,12,27,29
2007/08/09(四),2,9,22,24,38
2007/08/10(五),13,16,17,26,33
2007/08/13(一),1,15,24,29,31
2007/08/17(五),5,16,23,30,35
2007/08/20(一),4,17,23,26,28
2007/08/21(二),1,7,19,26,29
2007/08/22(三),3,17,22,31,34
2007/08/23(四),4,7,16,20,28
2007/08/24(五),2,7,12,16,39
2007/08/27(一),10,12,19,23,36
2007/08/28(二),4,7,14,29,36
2007/08/29(三),15,18,25,32,34
2007/08/30(四),7,14,25,28,37
2007/08/31(五),14,20,22,27,29
2007/09/03(一),12,18,24,27,33
2007/09/04(二),5,7,18,24,35
2007/09/05(三),1,28,31,34,38
2007/09/06(四),8,19,28,31,33
2007/09/07(五),2,19,23,30,37
2007/09/10(一),13,19,28,32,37
2007/09/11(二),4,21,27,35,38
2007/09/12(三),7,10,17,23,35
2007/09/13(四),1,3,10,15,26
2007/09/19(三),4,6,17,24,37
2007/09/20(四),7,13,20,25,26
2007/09/21(五),12,17,24,34,38
2007/09/24(一),2,3,31,36,37
2007/09/25(二),1,17,19,27,36
2007/09/26(三),8,31,32,33,37
2007/09/27(四),6,11,12,16,33
2007/09/28(五),4,9,17,26,37
2007/10/01(一),2,28,31,33,35
2007/10/02(二),1,8,22,23,26
2007/10/03(三),1,5,8,12,24
2007/10/04(四),2,6,24,35,36
2007/10/05(五),8,11,25,34,39
2007/10/08(一),14,16,19,21,34
2007/10/09(二),5,7,12,22,26
2007/10/10(三),1,8,22,24,27
2007/10/11(四),4,18,23,26,36
2007/10/12(五),1,12,13,17,23
2007/10/15(一),9,10,17,18,31
2007/10/16(二),11,15,20,22,34
2007/10/22(一),1,13,18,23,33
2007/10/23(二),3,4,9,22,39
2007/10/24(三),1,3,17,29,31
2007/10/25(四),9,11,16,20,31
2007/10/26(五),17,19,23,29,37
2007/10/29(一),3,4,17,32,39
2007/10/30(二),3,4,6,22,27
2007/10/31(三),15,23,28,35,36
2007/11/01(四),9,12,14,22,30
2007/11/02(五),1,4,5,30,31
2007/11/05(一),12,26,28,31,38
2007/11/06(二),9,26,32,33,37
2007/11/07(三),6,12,20,21,30
2007/11/08(四),23,24,25,29,36
2007/11/09(五),2,12,18,28,36
2007/11/12(一),30,33,34,36,37
2007/11/13(二),5,6,16,18,29
2007/11/14(三),2,9,24,31,39
2007/11/15(四),6,21,29,35,37
2007/11/16(五),1,5,10,19,32
2007/11/22(四),4,12,15,30,38
2007/11/23(五),7,13,16,24,31
2007/11/26(一),5,12,19,29,30
2007/11/27(二),5,11,12,19,34
2007/11/28(三),1,6,11,14,28
2007/11/29(四),12,15,24,29,38
2007/11/30(五),3,9,27,32,35
2007/12/03(一),3,11,24,28,31
